"STT","Mã","Tên","Tính chất","Nhóm VTHH","Đơn vị tính chính","Mã kho ngầm định"
"1","HPC.G500.T.5.CBBRT","Combi crop bột 500gr","Hàng hóa","MI_K1_AV6","kg","KHO_HONAI.HANGHOA"
"2","HPC.K1.T.CBBRT","Combi crop bột 1kg","Hàng hóa","MI_K1_AV6","kg","KHO_HONAI.HANGHOA"
"3","ROBUSTA","Cà phê hòa tan Robusta - 45g","Hàng hóa","","Hũ",""
"4","SMH.K10.B.1055PRSC","Phân bón NPK 10.55.10 PREME Bột","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"5","SMH.K10.B.1060PRSC","Phân bón NPK 10.60.10 PREME Bột","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"6","SMH.K10.B.1217SC","Nguyên liệu 12.12.17 tháp cao","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"7","SMH.K10.B.1217SSC","Nguyên liệu 12.12.17 hL SOP","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"8","SMH.K10.B.1330PRSC","Phân bón NPK 13.30.18 PREME Bột","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"9","SMH.K10.B.1515GSC","Nguyên Liệu NPK 15.15.15+TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"10","SMH.K10.B.1515GSSC","Nguyên Liệu NPK 15.15.15 K2S04","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"11","SMH.K10.B.1515WSSC","Nguyên liệu 15.15.15  K2SO4 Trắng","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"12","SMH.K10.B.155PSC","Nguyên Liệu NPK 15.5.25+TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"13","SMH.K10.B.155WSC","Nguyên Liệu NPK 15.5.25+TE Trắng","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"14","SMH.K10.B.168SC","Nguyên Liệu NPK 16.16.8 +TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"15","SMH.K10.B.168WSC","Nguyên Liệu NPK 16.16.8 +TE Tháp cao","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"16","SMH.K10.B.1717GSC","Nguyên liệu 17.17.17 KCL","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"17","SMH.K10.B.1717GSSC","Nguyên liệu 17.17.17+TE K2SO4 Xanh","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"18","SMH.K10.B.1717WSSC","Nguyên liệu 17.17.17+TE K2SO4 Trắng","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"19","SMH.K10.B.177GSC","Nguyên liệu 17.7.17+MgO+TE Tháp cao","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"20","SMH.K10.B.177SC","Nguyên liệu 17.7.17 Hóa Lỏng","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"21","SMH.K10.B.178FSC","Nguyên Liệu NPK 17.8.25  +TE Fulvic","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"22","SMH.K10.B.178GSC","Nguyên Liệu NPK 17.8.25  +TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"23","SMH.K10.B.178GSSC","Nguyên Liệu NPK 17.8.25 kalisunphat  +TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"24","SMH.K10.B.178PSC","Nguyên Liệu NPK 17.8.25 +TE Tím","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"25","SMH.K10.B.1830PRSC","Phân bón NPK 18.30.18 PREME Bột","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"26","SMH.K10.B.1919FSC","Nguyên liệu NPK 19.19.19 Fulvic","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"27","SMH.K10.B.1919FSSC","Nguyên liệu NPK 19.19.19 K2SO4 Fulvic","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"28","SMH.K10.B.1919GSC","Nguyên Liệu NPK 19.19.19+TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"29","SMH.K10.B.1919GSSC","Nguyên liệu NPK 19.19.19 K2SO4 xanh","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"30","SMH.K10.B.1919PRSC","Phân bón NPK 19.19.19 PREME Bột","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"31","SMH.K10.B.1919PSC","Nguyên liệu NPK19.19.19 màu tím","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"32","SMH.K10.B.2010BSC","Nguyên Liệu NPK 20.10.10 XANH","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"33","SMH.K10.B.2010GSSC","Nguyên liệu 20.10.10+TE K2SO4 Xanh","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"34","SMH.K10.B.2010PSC","Nguyên Liệu NPK 20.10.10 Tím","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"35","SMH.K10.B.2010WSSC","Nguyên liệu 20.10.10+TE K2SO4 Trắng","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"36","SMH.K10.B.2015CSC","Nguyên Liệu NPK 20.20.15+TE Hóa Lỏng","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"37","SMH.K10.B.2015FSC","Nguyên Liệu NPK 20.20.15 Fulvic","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"38","SMH.K10.B.2015GPRVSC","Nguyên Liệu NPK 20.20.15 K TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"39","SMH.K10.B.2015GSC","Nguyên Liệu NPK 20.20.15+TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"40","SMH.K10.B.2015PSC","Nguyên Liệu NPK 20.20.15+TE Tím","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"41","SMH.K10.B.2121PRSC","Phân bón NPK 21.21.21 PREME Bột","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"42","SMH.K10.B.255GSC","Nguyên Liệu NPK  25.5.5 +TE Xanh","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"43","SMH.K10.B.255PSC","Nguyên Liệu NPK  25.5.5 +TE Tím","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"44","SMH.K10.B.3010BSC","Nguyên Liệu NPK 30.10.10+TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"45","SMH.K10.B.3010PRSC","Phân bón NPK 30.10.10 PREME Bột","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"46","SMH.K10.B.3010PSC","Nguyên Liệu NPK 30.10.10 Tím","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"47","SMH.K10.B.3010WSC","Nguyên Liệu NPK 30.10.10+TE Trắng","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"48","SMH.K10.B.630PRSC","Phân bón NPK 6.30.30 PREME Bột","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"49","SMH.K10.B.9646PRSC","Phân bón NPK 9.6.46 PREME Bột","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"50","SMH.K10.B.C93.3010BPRVSC","Nguyên Liệu NPK 30.10.10 K TE","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"51","SMH.K10.B.C95.3010BPRVSC","Nguyên Liệu NPK 30.10.10+TE chuẩn 95","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"52","SMH.K10.B.T100.1515WSTSC","Nguyên liệu 15.15.15  K2SO4 Trắng tan 100%","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"53","SMH.K10.B.T100.155PTSC","Nguyên Liệu NPK 15.5.25+TE tan 100%","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
"54","SMH.K10.B.T100.1717GSTSC","Nguyên liệu NPK 17.17.17 K2SO4 xanh tan 100%","Nguyên vật liệu","BG_REP","kg","KHO_HONAI.NVL"
